credit_history,credit_amount,employment,property_magnitude,age,class
'critical/other existing credit',1927,1<=X<4,car,33,good
'critical/other existing credit',2820,<1,car,27,bad
'existing paid',937,<1,car,27,good
'critical/other existing credit',1056,>=7,'real estate',30,bad
'critical/other existing credit',3124,<1,'real estate',49,good
'existing paid',1388,1<=X<4,'real estate',26,good
'existing paid',2384,<1,'no known property',33,bad
'existing paid',2133,>=7,'no known property',52,good
'existing paid',2039,1<=X<4,'real estate',20,bad
'critical/other existing credit',2799,1<=X<4,'real estate',36,good
'existing paid',1289,1<=X<4,'life insurance',21,good
'existing paid',1217,1<=X<4,'real estate',47,bad
'critical/other existing credit',2246,>=7,'life insurance',60,bad
'critical/other existing credit',385,4<=X<7,'real estate',58,good
'delayed previously',1965,1<=X<4,car,42,good
'existing paid',1572,>=7,'real estate',36,good
'existing paid',2718,1<=X<4,'life insurance',20,bad
'all paid',1358,>=7,car,40,bad
'all paid',931,<1,'life insurance',32,bad
'existing paid',1442,4<=X<7,car,23,bad
'no credits/all paid',4241,1<=X<4,'real estate',36,bad
'critical/other existing credit',2775,4<=X<7,'life insurance',31,bad
'delayed previously',3863,1<=X<4,'no known property',32,good
'existing paid',2329,<1,'real estate',45,good
'existing paid',918,1<=X<4,'life insurance',30,bad
'all paid',1837,4<=X<7,'no known property',34,bad
'existing paid',3349,1<=X<4,car,28,bad
'existing paid',1275,<1,'life insurance',23,good
'all paid',2828,1<=X<4,'real estate',22,good
'critical/other existing credit',4526,1<=X<4,'real estate',74,good
'existing paid',2671,1<=X<4,'no known property',50,bad
'existing paid',2051,<1,'real estate',33,good
'existing paid',1300,>=7,'no known property',45,good
'existing paid',741,unemployed,'life insurance',22,bad
'existing paid',1240,>=7,'no known property',48,bad
'existing paid',3357,<1,car,29,good
'all paid',3632,1<=X<4,car,22,good
'delayed previously',1808,4<=X<7,'real estate',22,bad
'no credits/all paid',12204,1<=X<4,car,48,good
'delayed previously',9157,1<=X<4,'no known property',27,good
'critical/other existing credit',3676,1<=X<4,'real estate',37,good
'existing paid',3441,1<=X<4,car,21,bad
'existing paid',640,1<=X<4,'real estate',49,good
'critical/other existing credit',3652,4<=X<7,'life insurance',27,good
'critical/other existing credit',1530,1<=X<4,'life insurance',32,bad
'existing paid',3914,1<=X<4,'real estate',38,bad
'existing paid',1858,<1,car,22,good
'existing paid',2600,1<=X<4,'no known property',65,bad
'existing paid',1979,>=7,car,35,good
'existing paid',2116,1<=X<4,'real estate',41,good
'all paid',1437,4<=X<7,'no known property',29,bad
'critical/other existing credit',4042,1<=X<4,'real estate',36,good
'existing paid',3832,>=7,'real estate',64,good
'existing paid',3660,1<=X<4,car,28,good
'all paid',1553,1<=X<4,car,44,bad
'existing paid',1444,<1,'life insurance',23,good
'existing paid',1980,<1,car,19,bad
'existing paid',1355,<1,car,25,bad
'existing paid',1393,>=7,'life insurance',47,good
'existing paid',1376,4<=X<7,car,28,good
'delayed previously',15653,4<=X<7,car,21,good
'existing paid',1493,<1,car,34,good
'delayed previously',4370,4<=X<7,'life insurance',26,bad
'existing paid',750,unemployed,'real estate',27,bad
'existing paid',1308,>=7,car,38,good
'existing paid',4623,1<=X<4,'life insurance',40,bad
'critical/other existing credit',1851,4<=X<7,car,33,good
'critical/other existing credit',1880,4<=X<7,'life insurance',32,good
'delayed previously',7980,<1,car,27,bad
'no credits/all paid',4583,1<=X<4,'real estate',32,good
'existing paid',1386,1<=X<4,'life insurance',26,bad
'existing paid',947,4<=X<7,'no known property',38,bad
'existing paid',684,1<=X<4,car,40,bad
'existing paid',7476,4<=X<7,'no known property',50,good
'existing paid',1922,1<=X<4,'life insurance',37,bad
'existing paid',2303,>=7,'real estate',45,bad
'delayed previously',8086,>=7,car,42,bad
'critical/other existing credit',2346,4<=X<7,car,35,good
'existing paid',3973,unemployed,'no known property',22,good
'existing paid',888,>=7,car,41,bad
'existing paid',10222,4<=X<7,car,37,good
'no credits/all paid',4221,1<=X<4,car,28,good
'critical/other existing credit',6361,>=7,'no known property',41,good
'existing paid',1297,1<=X<4,'real estate',23,good
'existing paid',900,1<=X<4,car,23,bad
'existing paid',2241,>=7,'real estate',50,good
'delayed previously',1050,unemployed,'life insurance',35,good
'critical/other existing credit',1047,1<=X<4,'life insurance',50,good
'critical/other existing credit',6314,unemployed,'no known property',27,good
'all paid',3496,1<=X<4,car,34,good
'all paid',3609,1<=X<4,'real estate',27,good
'critical/other existing credit',4843,>=7,'life insurance',43,bad
'critical/other existing credit',3017,>=7,'life insurance',47,good
'critical/other existing credit',4139,1<=X<4,'life insurance',27,good
'existing paid',5742,4<=X<7,car,31,good
'existing paid',10366,>=7,'life insurance',42,good
'critical/other existing credit',2080,1<=X<4,car,24,good
'delayed previously',2580,<1,'real estate',41,bad
'critical/other existing credit',4530,4<=X<7,car,26,good
'critical/other existing credit',5150,>=7,car,33,good
'existing paid',5595,1<=X<4,car,24,bad
'existing paid',2384,>=7,'real estate',64,good
'existing paid',1453,<1,'real estate',26,good
'existing paid',1538,<1,'no known property',56,good
'existing paid',2279,1<=X<4,'no known property',37,good
'delayed previously',1478,1<=X<4,'real estate',33,good
'critical/other existing credit',5103,<1,'no known property',47,good
'delayed previously',9857,4<=X<7,'life insurance',31,good
'existing paid',6527,1<=X<4,'no known property',34,good
'critical/other existing credit',1347,4<=X<7,'life insurance',27,good
'delayed previously',2862,>=7,'no known property',30,good
'existing paid',2753,>=7,car,35,good
'existing paid',3651,1<=X<4,'life insurance',31,good
'critical/other existing credit',975,1<=X<4,'life insurance',25,good
'existing paid',2631,1<=X<4,'real estate',25,good
'existing paid',2896,<1,car,29,good
'critical/other existing credit',4716,<1,'real estate',44,good
'existing paid',2284,4<=X<7,car,28,good
'existing paid',1236,1<=X<4,'life insurance',50,good
'existing paid',1103,4<=X<7,'real estate',29,good
'critical/other existing credit',926,unemployed,'life insurance',38,good
'critical/other existing credit',1800,1<=X<4,car,24,good
'existing paid',1905,>=7,car,40,good
'existing paid',1123,1<=X<4,car,29,bad
'critical/other existing credit',6331,>=7,'no known property',46,bad
'existing paid',1377,>=7,'no known property',47,good
'delayed previously',2503,>=7,'life insurance',41,good
'existing paid',2528,<1,'life insurance',32,good
'existing paid',5324,>=7,'no known property',35,good
'existing paid',6560,4<=X<7,'life insurance',24,bad
'no credits/all paid',2969,<1,'life insurance',25,bad
'existing paid',1206,>=7,'real estate',25,good
'existing paid',2118,1<=X<4,'real estate',37,good
'critical/other existing credit',629,>=7,'life insurance',32,good
'all paid',1198,>=7,'no known property',35,bad
'existing paid',2476,>=7,'real estate',46,good
'critical/other existing credit',1138,1<=X<4,'real estate',25,good
'existing paid',14027,4<=X<7,'no known property',27,bad
'critical/other existing credit',7596,>=7,car,63,good
'critical/other existing credit',3077,>=7,car,40,good
'existing paid',1505,1<=X<4,'no known property',32,good
'critical/other existing credit',3148,1<=X<4,car,31,good
'no credits/all paid',6148,>=7,car,31,good
'no credits/all paid',1337,<1,car,34,bad
'all paid',433,<1,'life insurance',24,bad
'existing paid',1228,1<=X<4,'real estate',24,bad
'existing paid',790,1<=X<4,'real estate',66,good
'existing paid',2570,1<=X<4,'real estate',21,bad
'critical/other existing credit',250,1<=X<4,'real estate',41,good
'critical/other existing credit',1316,1<=X<4,'life insurance',47,good
'existing paid',1882,1<=X<4,car,25,bad
'all paid',6416,>=7,'no known property',59,bad
'critical/other existing credit',1275,1<=X<4,'real estate',36,good
'delayed previously',6403,<1,car,33,good
'existing paid',1987,1<=X<4,'real estate',21,bad
'existing paid',760,4<=X<7,'real estate',44,good
'existing paid',2603,1<=X<4,car,28,good
'critical/other existing credit',3380,4<=X<7,'real estate',37,good
'all paid',3990,<1,'no known property',29,good
'existing paid',11560,1<=X<4,car,23,bad
'existing paid',4380,1<=X<4,car,35,good
'critical/other existing credit',6761,4<=X<7,'no known property',45,good
'no credits/all paid',4280,1<=X<4,car,26,bad
'all paid',2325,4<=X<7,car,32,good
'all paid',1048,1<=X<4,'real estate',23,good
'existing paid',3160,>=7,'life insurance',41,good
'all paid',2483,1<=X<4,'real estate',22,good
'critical/other existing credit',14179,4<=X<7,'life insurance',30,good
'critical/other existing credit',1797,<1,'life insurance',28,good
'existing paid',2511,unemployed,car,23,good
'existing paid',1274,<1,'real estate',37,bad
'existing paid',5248,1<=X<4,car,26,good
'existing paid',3029,4<=X<7,car,33,good
'existing paid',428,>=7,'life insurance',49,good
'existing paid',976,<1,car,23,bad
'existing paid',841,4<=X<7,'real estate',23,good
'critical/other existing credit',5771,4<=X<7,car,25,good
'delayed previously',1555,>=7,'no known property',55,bad
'existing paid',1285,4<=X<7,'no known property',32,bad
'critical/other existing credit',1299,1<=X<4,'real estate',74,good
'critical/other existing credit',1271,1<=X<4,'no known property',39,bad
'existing paid',1393,1<=X<4,'real estate',31,good
'critical/other existing credit',691,>=7,'life insurance',35,bad
'critical/other existing credit',5045,>=7,car,59,good
'critical/other existing credit',2124,1<=X<4,'real estate',24,bad
'existing paid',2214,1<=X<4,'life insurance',24,good
'critical/other existing credit',12680,>=7,'no known property',30,bad
'critical/other existing credit',2463,4<=X<7,'life insurance',27,good
'existing paid',1155,>=7,'real estate',40,good
'existing paid',3108,<1,'life insurance',31,bad
'existing paid',2901,<1,'real estate',31,good
'critical/other existing credit',3617,>=7,car,28,good
'critical/other existing credit',1655,>=7,'real estate',63,good
'existing paid',2812,>=7,'real estate',26,good
'critical/other existing credit',8065,1<=X<4,'no known property',25,bad
'critical/other existing credit',3275,>=7,car,36,good
'critical/other existing credit',2223,>=7,'life insurance',52,good
'critical/other existing credit',1480,unemployed,'no known property',66,good
'existing paid',1371,1<=X<4,'real estate',25,bad
'critical/other existing credit',3535,4<=X<7,car,37,good
'existing paid',3509,4<=X<7,'real estate',25,good
'critical/other existing credit',5711,>=7,car,38,good
'existing paid',3872,unemployed,car,67,good
'critical/other existing credit',4933,4<=X<7,'real estate',25,bad
'critical/other existing credit',1940,>=7,'real estate',60,good
'no credits/all paid',1410,1<=X<4,'real estate',31,good
'existing paid',836,<1,'life insurance',23,bad
'existing paid',6468,unemployed,'real estate',60,good
'existing paid',1941,1<=X<4,'life insurance',35,good
'existing paid',2675,>=7,car,40,good
'critical/other existing credit',2751,>=7,car,38,good
'delayed previously',6224,>=7,'no known property',50,bad
'critical/other existing credit',5998,1<=X<4,'no known property',27,bad
'existing paid',1188,>=7,'life insurance',39,bad
'existing paid',6313,>=7,car,41,good
'critical/other existing credit',1221,1<=X<4,'life insurance',27,good
'existing paid',2892,>=7,'no known property',51,good
'existing paid',3062,>=7,'no known property',32,good
'existing paid',2301,<1,'life insurance',22,good
'existing paid',7511,>=7,'life insurance',51,bad
'critical/other existing credit',1258,<1,'life insurance',22,good
'delayed previously',717,>=7,car,54,good
'existing paid',1549,<1,'real estate',35,good
'critical/other existing credit',1597,>=7,'no known property',54,good
'critical/other existing credit',1795,>=7,'real estate',48,good
'critical/other existing credit',4272,>=7,'life insurance',24,good
'critical/other existing credit',976,>=7,car,35,good
'existing paid',7472,unemployed,'real estate',24,good
'existing paid',9271,4<=X<7,car,24,bad
'existing paid',590,<1,'real estate',26,good
'critical/other existing credit',930,>=7,'real estate',65,good
'all paid',9283,unemployed,'no known property',55,good
'no credits/all paid',1778,<1,'real estate',26,bad
'existing paid',907,<1,'real estate',26,good
'existing paid',484,4<=X<7,'real estate',28,good
'critical/other existing credit',9629,4<=X<7,car,24,bad
'existing paid',3051,1<=X<4,car,54,bad
'existing paid',3931,4<=X<7,'no known property',46,bad
'delayed previously',7432,1<=X<4,'life insurance',54,good
'existing paid',1338,1<=X<4,'real estate',62,good
'critical/other existing credit',1554,4<=X<7,car,24,good
'existing paid',15857,unemployed,car,43,good
'existing paid',1345,1<=X<4,'real estate',26,bad
'existing paid',1101,1<=X<4,'real estate',27,good
'existing paid',3016,1<=X<4,car,24,good
'existing paid',2712,>=7,'life insurance',41,bad
'critical/other existing credit',731,>=7,'real estate',47,good
'critical/other existing credit',3780,<1,car,35,good
'critical/other existing credit',1602,>=7,car,30,good
'critical/other existing credit',3966,>=7,'real estate',33,bad
'no credits/all paid',4165,1<=X<4,car,36,bad
'existing paid',8335,>=7,'no known property',47,bad
'delayed previously',6681,1<=X<4,'no known property',38,good
'delayed previously',2375,1<=X<4,car,44,good
'existing paid',1216,<1,car,23,bad
'no credits/all paid',11816,>=7,car,29,bad
'existing paid',5084,>=7,car,42,good
'existing paid',2327,<1,'real estate',25,bad
'no credits/all paid',1082,1<=X<4,car,48,bad
'existing paid',886,1<=X<4,car,21,good
'existing paid',601,<1,'real estate',23,good
'critical/other existing credit',2957,>=7,'life insurance',63,good
'critical/other existing credit',2611,>=7,'real estate',46,good
'existing paid',5179,4<=X<7,'life insurance',29,bad
'delayed previously',2993,1<=X<4,'real estate',28,good
'existing paid',1943,<1,'real estate',23,bad
'all paid',1559,4<=X<7,car,50,good
'existing paid',3422,>=7,'life insurance',47,good
'existing paid',3976,4<=X<7,car,35,good
'existing paid',6761,1<=X<4,car,68,bad
'existing paid',1249,<1,'real estate',28,good
'existing paid',1364,4<=X<7,'real estate',59,good
'existing paid',709,>=7,'real estate',57,bad
'critical/other existing credit',2235,1<=X<4,'life insurance',33,bad
'critical/other existing credit',4042,4<=X<7,'life insurance',43,good
'critical/other existing credit',1471,1<=X<4,'no known property',35,good
'all paid',1442,4<=X<7,'no known property',32,bad
'delayed previously',10875,>=7,car,45,good
'existing paid',1474,<1,'real estate',33,good
'existing paid',894,4<=X<7,'life insurance',40,good
'critical/other existing credit',3343,1<=X<4,'no known property',28,good
'existing paid',3959,1<=X<4,'life insurance',29,bad
'existing paid',3577,1<=X<4,'real estate',26,good
'critical/other existing credit',5804,1<=X<4,'real estate',27,good
'delayed previously',2169,1<=X<4,car,28,bad
'existing paid',2439,<1,'real estate',35,bad
'critical/other existing credit',4526,<1,'real estate',32,good
'existing paid',2210,1<=X<4,'real estate',25,bad
'existing paid',2221,1<=X<4,car,20,good
'existing paid',2389,<1,car,27,good
'critical/other existing credit',3331,>=7,'life insurance',42,good
'existing paid',7409,>=7,'life insurance',37,good
'existing paid',652,>=7,'life insurance',24,good
'delayed previously',7678,4<=X<7,car,40,good
'critical/other existing credit',1343,>=7,'real estate',46,good
'critical/other existing credit',1382,4<=X<7,'real estate',26,good
'existing paid',874,<1,'real estate',24,good
'existing paid',3590,1<=X<4,'life insurance',29,good
'critical/other existing credit',1322,1<=X<4,car,40,good
'all paid',1940,<1,'no known property',36,good
'existing paid',3595,>=7,car,28,good
'existing paid',1422,<1,'no known property',27,bad
'critical/other existing credit',6742,4<=X<7,'life insurance',36,good
'existing paid',7814,4<=X<7,car,38,good
'existing paid',9277,1<=X<4,'no known property',48,good
'critical/other existing credit',2181,>=7,'real estate',36,good
'critical/other existing credit',1098,unemployed,car,65,good
'existing paid',4057,4<=X<7,car,43,bad
'existing paid',795,<1,'life insurance',53,bad
'critical/other existing credit',2825,4<=X<7,'no known property',34,good
'existing paid',15672,1<=X<4,car,23,bad
'critical/other existing credit',6614,>=7,car,34,good
'all paid',7824,<1,'real estate',40,good
'critical/other existing credit',2442,>=7,car,43,good
'critical/other existing credit',1829,>=7,car,46,good
'critical/other existing credit',2171,1<=X<4,'life insurance',38,good
'critical/other existing credit',5800,1<=X<4,car,34,good
'critical/other existing credit',1169,1<=X<4,'life insurance',29,good
'delayed previously',8947,4<=X<7,car,31,good
'existing paid',2606,<1,'life insurance',28,good
'critical/other existing credit',1592,4<=X<7,'life insurance',35,good
'existing paid',2186,4<=X<7,'real estate',33,good
'existing paid',4153,1<=X<4,car,42,bad
'critical/other existing credit',2625,>=7,'life insurance',43,bad
'critical/other existing credit',3485,<1,'real estate',44,good
'critical/other existing credit',10477,>=7,'no known property',42,good
'existing paid',1386,1<=X<4,'real estate',40,good
'existing paid',1278,>=7,'real estate',36,good
'existing paid',1107,1<=X<4,'real estate',20,good
'existing paid',3763,4<=X<7,'real estate',24,good
'existing paid',3711,1<=X<4,car,27,good
'delayed previously',3594,<1,'life insurance',46,good
'existing paid',3195,1<=X<4,'real estate',33,good
'delayed previously',4454,1<=X<4,'real estate',34,good
'critical/other existing credit',4736,<1,car,25,bad
'existing paid',2991,>=7,car,25,good
'existing paid',2142,>=7,'real estate',28,good
'all paid',3161,1<=X<4,'life insurance',31,bad
'no credits/all paid',18424,1<=X<4,'life insurance',32,bad
'existing paid',2848,1<=X<4,'real estate',32,good
'existing paid',14896,>=7,'no known property',68,bad
'existing paid',2359,unemployed,'life insurance',33,bad
'existing paid',3345,>=7,'life insurance',39,bad
'critical/other existing credit',1817,1<=X<4,'no known property',28,good
'delayed previously',12749,4<=X<7,car,37,good
'existing paid',1366,<1,'life insurance',22,bad
'existing paid',2002,4<=X<7,'life insurance',30,good
'all paid',6872,<1,'life insurance',55,bad
'all paid',697,<1,car,46,bad
'critical/other existing credit',1049,<1,'life insurance',21,good
'existing paid',10297,4<=X<7,'no known property',39,bad
'existing paid',1867,>=7,car,58,good
'delayed previously',1344,1<=X<4,'real estate',43,good
'existing paid',1747,<1,'life insurance',24,good
'existing paid',1670,<1,car,22,bad
'critical/other existing credit',1224,1<=X<4,'real estate',30,good
'critical/other existing credit',522,>=7,'life insurance',42,good
'existing paid',1498,1<=X<4,car,23,good
'delayed previously',1919,<1,'no known property',30,bad
'existing paid',745,1<=X<4,'real estate',28,bad
'existing paid',2063,<1,car,30,good
'existing paid',6288,1<=X<4,'no known property',42,bad
'critical/other existing credit',6842,1<=X<4,'life insurance',46,good
'existing paid',3527,<1,'life insurance',45,good
'existing paid',1546,1<=X<4,'real estate',31,good
'existing paid',929,4<=X<7,car,31,good
'critical/other existing credit',1455,4<=X<7,'real estate',42,good
'existing paid',1845,<1,'life insurance',46,good
'no credits/all paid',8358,<1,car,30,good
'all paid',3349,<1,'no known property',30,bad
'existing paid',2859,unemployed,'no known property',38,good
'existing paid',1533,<1,'life insurance',43,bad
'existing paid',3621,>=7,car,31,bad
'critical/other existing credit',3590,unemployed,car,40,good
'delayed previously',2145,4<=X<7,car,24,bad
'existing paid',4113,<1,car,28,bad
'existing paid',10974,unemployed,car,26,bad
'existing paid',1893,1<=X<4,'life insurance',29,good
'critical/other existing credit',1231,>=7,'life insurance',57,good
'critical/other existing credit',3656,>=7,'life insurance',49,good
'critical/other existing credit',1154,>=7,'real estate',37,good
'existing paid',4006,1<=X<4,car,45,bad
'existing paid',3069,>=7,'no known property',30,good
'critical/other existing credit',1740,>=7,'real estate',30,good
'delayed previously',2353,1<=X<4,'life insurance',47,good
'existing paid',3556,1<=X<4,'no known property',29,good
'existing paid',2397,>=7,car,35,bad
'existing paid',454,<1,'life insurance',22,good
'existing paid',1715,1<=X<4,car,26,good
'critical/other existing credit',2520,1<=X<4,'life insurance',23,bad
'existing paid',3568,>=7,car,54,good
'existing paid',7166,4<=X<7,'life insurance',29,good
'critical/other existing credit',3939,1<=X<4,'real estate',40,good
'existing paid',1514,1<=X<4,'real estate',22,good
'existing paid',7393,1<=X<4,'life insurance',43,good
'all paid',1193,unemployed,'no known property',29,bad
'existing paid',7297,>=7,'no known property',36,bad
'critical/other existing credit',2831,1<=X<4,car,33,good
'existing paid',1258,1<=X<4,car,57,good
'existing paid',753,1<=X<4,'real estate',64,good
'delayed previously',2427,>=7,'life insurance',42,good
'delayed previously',2538,>=7,car,47,bad
'all paid',1264,1<=X<4,'life insurance',25,bad
'critical/other existing credit',8386,4<=X<7,'life insurance',49,bad
'existing paid',4844,unemployed,car,33,bad
'existing paid',2923,1<=X<4,car,28,good
'existing paid',8229,1<=X<4,'life insurance',26,bad
'critical/other existing credit',2028,4<=X<7,'life insurance',30,good
'critical/other existing credit',1433,1<=X<4,'life insurance',25,good
'no credits/all paid',6289,<1,'life insurance',33,good
'existing paid',1409,unemployed,'real estate',64,good
'existing paid',6579,unemployed,'no known property',29,good
'critical/other existing credit',1743,>=7,'life insurance',48,good
'critical/other existing credit',3565,<1,'life insurance',37,good
'all paid',1569,>=7,car,34,good
'existing paid',1936,4<=X<7,car,23,good
'existing paid',3959,unemployed,'life insurance',30,good
'existing paid',2390,>=7,car,50,good
'existing paid',1736,4<=X<7,'real estate',31,good
'existing paid',3857,1<=X<4,'life insurance',40,good
'existing paid',804,>=7,car,38,good
'existing paid',1845,1<=X<4,'no known property',23,bad
'critical/other existing credit',4576,unemployed,car,27,good
